,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,39812.61648317463,21299.9137035145,0.990419610771951,7.24162673950195,1.53233069547713,77.2529009896016,130.96420856985,152.407469734264,22.4569416046143,64.8462219238281,162.624786376953,56.0,90.0,58.0,204.0,109.0,194.0,39814.0,77.2529009896016,130.96420856985,152.407469734264
1,2,corticospinal_L,Left,18908.34292159414,12510.6507774426,0.968067404519366,3.98898959159851,1.71906134221575,72.1820826061664,126.941879528267,154.377122005394,25.2579460144043,66.3522338867188,100.753684997559,56.0,88.0,88.0,190.0,101.0,195.0,37818.0,72.1820826061664,126.941879528267,154.377122005394
2,3,inferior_fronto_occipital_L,Left,15875.448316845343,9905.23740136402,0.988312913221043,6.56000995635986,1.56270828016599,59.0622952884858,138.534832451499,127.710506424792,26.4061412811279,37.1085929870605,173.224548339844,40.0,81.0,59.0,198.0,108.0,154.0,47628.0,59.0622952884858,138.534832451499,127.710506424792
3,4,inferior_longitudinal_fasciculus_L,Left,13415.533800629699,7267.77466549444,0.990060815948983,7.11035776138306,1.92029711768874,50.1866428145498,114.851520572451,116.065295169946,17.4921073913574,27.8558788299561,124.375144958496,32.0,86.0,60.0,161.0,93.0,144.0,53664.0,50.1866428145498,114.851520572451,116.065295169946
4,5,superior_longitudinal_fasciculus_L,Left,9923.65514590408,6157.37056923785,0.958416627418284,3.50418972969055,1.16668731993151,40.0892785167271,122.052196694881,139.266827891979,19.3814754486084,45.5015296936035,67.9163665771484,20.0,59.0,99.0,152.0,115.0,159.0,49620.0,40.0892785167271,122.052196694881,139.266827891979
5,6,uncinate_L,Left,2718.905516093631,2896.75650774259,0.933330636015043,2.78537559509277,0.930764421698054,58.3089371092313,159.123574843693,111.044869437293,20.663610458374,31.1005802154541,57.5559158325195,41.0,81.0,137.0,189.0,98.0,125.0,16314.0,58.3089371092313,159.123574843693,111.044869437293
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
