,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3904.106216551736,2648.70852644578,0.942784679349037,2.99937987327576,1.43294702891009,112.638901395768,164.947996398019,134.803692030617,12.9877433776855,21.254430770874,38.9551773071289,104.0,120.0,146.0,184.0,119.0,147.0,4450884.0,112.638901395768,164.947996398019,134.803692030617
40,1003,left caudal middle frontal,outer,6605.86724979803,5155.53592115876,0.80300405593797,1.67792677879333,2.12913811394814,82.0482969664715,159.027009047366,147.61641830761,25.8317623138428,28.7844886779785,43.343807220459,62.0,100.0,138.0,180.0,127.0,162.0,7538548.0,82.0482969664715,159.027009047366,147.61641830761
41,1005,left cuneus,outer,3209.769451338798,4257.66413262115,0.882438912965811,2.12572836875916,1.9489303096635,100.978094194962,64.710295728368,112.473713033954,20.8252563476562,33.9234886169434,44.2688369750977,86.0,112.0,43.0,84.0,89.0,134.0,3670260.0,100.978094194962,64.710295728368,112.473713033954
42,1006,left entorhinal,outer,2157.7174159465358,1449.19624731141,0.880701594095948,2.11116766929626,2.09426724396337,91.054582484725,151.365376782077,77.0928716904277,12.6054153442383,21.1605339050293,26.6121463775635,77.0,103.0,138.0,176.0,68.0,95.0,2469730.0,91.054582484725,151.365376782077,77.0928716904277
43,1007,left fusiform,outer,8618.564961617813,6193.99538291398,0.978257561050858,4.82174730300903,1.48963614174842,75.5837242504589,108.680909647155,82.1865184580869,15.6681804656982,24.5472984313965,75.5480041503906,61.0,91.0,68.0,154.0,69.0,95.0,9874642.0,75.5837242504589,108.680909647155,82.1865184580869
44,1008,left inferior parietal,outer,13398.941754014231,10222.1522284535,0.851063557440682,1.90453445911407,2.02779015856032,67.6674975401771,80.6442112167924,125.290915054116,26.1098899841309,40.0751571655273,49.7271842956543,49.0,87.0,53.0,108.0,105.0,149.0,15366960.0,67.6674975401771,80.6442112167924,125.290915054116
45,1009,left inferior temporal,outer,11869.643055950291,8509.50911862147,0.990711251082929,7.35389232635498,1.24644686033628,63.7996297667531,131.981414291003,77.7723805997779,14.1302680969238,32.971019744873,103.912467956543,45.0,96.0,84.0,175.0,63.0,96.0,13626545.0,63.7996297667531,131.981414291003,77.7723805997779
46,1010,left isthmus cingulate,outer,2423.1474198633805,2153.16176298536,0.931565856691878,2.75048208236694,0.407943900151367,106.030467899891,99.1965904969169,117.68443960827,16.0200157165527,20.3721218109131,44.0627670288086,92.0,114.0,90.0,114.0,95.0,136.0,2784570.0,106.030467899891,99.1965904969169,117.68443960827
47,1011,left lateral occipital,outer,11310.65801458899,9455.92461554374,0.94752506686055,3.12811374664307,2.34837698892065,76.1971404149507,64.2324966974901,95.3495221073898,21.1030960083008,40.2301864624023,66.0128860473633,54.0,105.0,42.0,94.0,76.0,122.0,13010559.0,76.1971404149507,64.2324966974901,95.3495221073898
48,1012,left lateral orbitofrontal,outer,7222.860172810033,5901.03077219238,0.972104194775608,4.26349353790283,1.31717386598943,95.0206862983694,187.117303480166,92.8235580433195,14.3898830413818,35.3105354309082,61.3511734008789,70.0,118.0,156.0,219.0,79.0,108.0,8316616.0,95.0206862983694,187.117303480166,92.8235580433195
