,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,4300.0,2867.48655877261,0.960347973670653,3.58674693107605,1.59665568190796,115.673720930233,151.808837209302,172.183953488372,11.8956079483032,20.3209228515625,42.6665344238281,108.0,121.0,130.0,170.0,156.0,190.0,4308600.0,115.673720930233,151.808837209302,172.183953488372
40,1003,left caudal middle frontal,outer,7916.0,5538.92262690767,0.830435932257533,1.79496431350708,2.84739353632376,89.1030823648307,142.645149065184,182.221071248105,21.4803524017334,31.0788326263428,38.5564651489258,72.0,104.0,125.0,162.0,162.0,200.0,7939748.0,89.1030823648307,142.645149065184,182.221071248105
41,1005,left cuneus,outer,4273.0,4750.81087587631,0.932890819706455,2.77654910087585,2.1228689556277,113.096887432717,56.5368593494032,146.12192838755,17.5971393585205,33.5552978515625,48.8593215942383,100.0,123.0,37.0,80.0,116.0,168.0,4294365.0,113.096887432717,56.5368593494032,146.12192838755
42,1006,left entorhinal,outer,2051.0,1359.34574612477,0.883923439537535,2.13843536376953,1.53154904795725,100.19746465139,136.363725012189,111.665529010239,12.0108289718628,16.8216552734375,25.6843814849854,91.0,109.0,124.0,148.0,103.0,121.0,2063306.0,100.19746465139,136.363725012189,111.665529010239
43,1007,left fusiform,outer,11454.0,6489.50565044356,0.976167912291445,4.60794258117676,1.61318828241681,87.0971712938711,95.4979046621268,114.179238693906,17.089075088501,25.2068977355957,78.745475769043,71.0,103.0,61.0,137.0,97.0,128.0,11534178.0,87.0971712938711,95.4979046621268,114.179238693906
44,1008,left inferior parietal,outer,12157.0,8546.9934614072,0.864730638762226,1.99109613895416,0.509724540389178,81.5077732993337,68.2886402895451,156.246606893148,22.9317684173584,37.1466598510742,45.6593551635742,67.0,99.0,49.0,91.0,131.0,182.0,12254256.0,81.5077732993337,68.2886402895451,156.246606893148
45,1009,left inferior temporal,outer,13206.0,8344.08045095941,0.985965186321765,5.98977994918823,1.25827714779843,75.346584885658,114.501817355747,110.599575950326,16.6097507476807,31.8219833374023,99.4887542724609,56.0,102.0,73.0,160.0,93.0,128.0,13324854.0,75.346584885658,114.501817355747,110.599575950326
46,1010,left isthmus cingulate,outer,2669.0,2258.68620416096,0.946346466475684,3.09450197219849,0.455953376475587,113.994379917572,91.3083551892094,150.499063319595,14.6329765319824,18.8444271087646,45.2817764282227,101.0,120.0,83.0,104.0,130.0,167.0,2695690.0,113.994379917572,91.3083551892094,150.499063319595
47,1011,left lateral occipital,outer,13049.0,9676.39987652354,0.952032825327624,3.26801729202271,2.45188786711434,92.4388075714614,53.2110506552226,123.607096329221,18.7786426544189,42.5519027709961,61.3689308166504,66.0,119.0,35.0,81.0,103.0,157.0,13192539.0,92.4388075714614,53.2110506552226,123.607096329221
48,1012,left lateral orbitofrontal,outer,7938.0,5372.79346408598,0.983035856500433,5.45216178894043,1.41065606843649,98.9183673469388,174.563240110859,128.458175862938,11.7448539733887,29.071231842041,64.0348434448242,82.0,117.0,145.0,203.0,118.0,143.0,8033256.0,98.9183673469388,174.563240110859,128.458175862938
