,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3552.290694338745,2352.4878142793,0.943589056997872,3.02006363868713,1.54021408222075,112.173054587689,152.751161440186,168.194541231127,11.4953556060791,20.4233303070068,34.7167053222656,106.0,117.0,136.0,169.0,152.0,180.0,3450888.0,112.173054587689,152.751161440186,168.194541231127
40,1003,left caudal middle frontal,outer,6628.054588217416,5110.37435560134,0.810756858649117,1.70828306674957,2.29406434576915,85.5891690009337,146.470121381886,182.191409897292,23.6911277770996,27.5863800048828,40.4711532592773,66.0,103.0,127.0,167.0,163.0,197.0,6445278.0,85.5891690009337,146.470121381886,182.191409897292
41,1005,left cuneus,outer,4514.627284878249,4492.40187720382,0.894622554824588,2.23802447319031,1.94962202361436,107.819739547635,57.6376513593786,154.048206534156,18.9633522033691,31.6808013916016,42.4404449462891,92.0,116.0,36.0,75.0,132.0,177.0,4398885.0,107.819739547635,57.6376513593786,154.048206534156
42,1006,left entorhinal,outer,2829.248947320319,1521.40804710792,0.865380569797723,1.99554908275604,2.04525777499191,90.5432008749544,133.218738607364,113.392635800219,12.8010149002075,18.8319492340088,25.5450534820557,76.0,103.0,120.0,156.0,103.0,130.0,2759458.0,90.5432008749544,133.218738607364,113.392635800219
43,1007,left fusiform,outer,10158.684973444339,6199.82612978255,0.973974309454868,4.41192483901978,1.54573835022154,78.8612041831658,94.5169052695705,122.661691542289,16.5973453521729,22.3621730804443,73.2262420654297,65.0,92.0,59.0,134.0,103.0,137.0,9917943.0,78.8612041831658,94.5169052695705,122.661691542289
44,1008,left inferior parietal,outer,13091.078249868571,9388.14154202952,0.860904030117095,1.96553480625153,2.10303650032307,75.6482035928144,72.2069019855027,166.938937913646,23.4377059936523,37.1123924255371,46.067626953125,59.0,94.0,48.0,96.0,150.0,190.0,12793536.0,75.6482035928144,72.2069019855027,166.938937913646
45,1009,left inferior temporal,outer,13391.228247560955,8146.92317119395,0.987858579333211,6.43683671951294,1.31258177250786,65.9908341677578,114.081799275976,117.11522760533,14.5081977844238,30.1108303070068,93.3869018554688,49.0,92.0,70.0,152.0,98.0,138.0,13099847.0,65.9908341677578,114.081799275976,117.11522760533
46,1010,left isthmus cingulate,outer,2772.519566313167,2145.58758832986,0.934711781689861,2.81367826461792,0.698954104175416,110.018601190476,90.1313244047619,157.277901785714,15.3667335510254,17.9556159973145,43.2370452880859,95.0,117.0,81.0,104.0,134.0,175.0,2714880.0,110.018601190476,90.1313244047619,157.277901785714
47,1011,left lateral occipital,outer,13298.398351367434,9911.88851828175,0.946081323946444,3.0870943069458,2.41210715994282,84.0826029628481,53.0826029628481,140.230047312495,19.8610897064209,40.9374084472656,61.3130569458008,62.0,111.0,34.0,84.0,121.0,167.0,13034823.0,84.0826029628481,53.0826029628481,140.230047312495
48,1012,left lateral orbitofrontal,outer,6864.255101865375,5739.91282080284,0.970973711217739,4.18084287643433,1.41132600063259,93.6936138241923,166.727422990233,126.367843726521,13.6497402191162,33.138500213623,57.0674171447754,70.0,111.0,140.0,198.0,114.0,140.0,6734860.0,93.6936138241923,166.727422990233,126.367843726521
