,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,38720.29145890474,22222.8031353977,0.992286112328551,8.06654357910156,1.55235167843104,77.611322021642,123.580821776297,164.880504119212,21.832763671875,69.5685882568359,176.114944458008,59.0,91.0,45.0,200.0,127.0,206.0,38721.0,77.611322021642,123.580821776297,164.880504119212
1,2,corticospinal_L,Left,18390.663469970226,12633.7861027841,0.963411993742729,3.73099684715271,1.66104510362181,72.7305203632211,119.962971018433,166.66945788701,25.4218654632568,69.1357498168945,94.8488998413086,61.0,88.0,77.0,183.0,116.0,207.0,36782.0,72.7305203632211,119.962971018433,166.66945788701
2,3,inferior_fronto_occipital_L,Left,13774.747936427593,9354.67061066489,0.99089526990761,7.42749357223511,1.57397697350351,59.9189110707804,127.155353901996,140.236950998185,24.9663257598877,31.7292366027832,185.437225341797,41.0,80.0,44.0,195.0,125.0,160.0,41325.0,59.9189110707804,127.155353901996,140.236950998185
3,4,inferior_longitudinal_fasciculus_L,Left,13134.759647548199,7257.40295106495,0.991752540871554,7.80229187011719,1.84130904277462,51.3713741910925,108.556299961934,124.963075751808,16.5876369476318,23.8908557891846,129.421585083008,34.0,83.0,45.0,157.0,108.0,150.0,52540.0,51.3713741910925,108.556299961934,124.963075751808
4,5,superior_longitudinal_fasciculus_L,Left,9952.817873775959,6445.3949649452,0.961572469625991,3.64230728149414,1.48814743436241,43.3385913794836,115.653069426304,150.985029639305,20.016321182251,47.8690299987793,72.9055938720703,26.0,61.0,90.0,150.0,126.0,173.0,49765.0,43.3385913794836,115.653069426304,150.985029639305
5,6,uncinate_L,Left,2570.9529542326927,2692.92016401327,0.953131773546405,3.30517888069153,0.951165823886803,57.3403345001945,154.796577207312,127.979385453131,17.6940307617188,31.9347267150879,58.4819374084473,41.0,79.0,132.0,188.0,117.0,142.0,15426.0,57.3403345001945,154.796577207312,127.979385453131
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
