,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,39416.99484530836,21567.3418944192,0.992474907967213,8.16671943664551,1.63894763612842,101.272230645737,107.129102747057,131.780926685694,21.9977970123291,69.9059524536133,179.649841308594,88.0,120.0,28.0,191.0,97.0,174.0,44848.0,101.272230645737,107.129102747057,131.780926685694
1,2,corticospinal_L,Left,18614.264489582274,12271.7615892465,0.966183804540816,3.87815856933594,1.48764955299438,94.6170735162189,103.298267151424,134.133717361537,25.5065650939941,66.3572540283203,98.9185028076172,82.0,116.0,60.0,168.0,82.0,175.0,42358.0,94.6170735162189,103.298267151424,134.133717361537
2,3,inferior_fronto_occipital_L,Left,14913.20836013183,9545.92704845099,0.991069383009345,7.49921989440918,1.68475429322687,85.2961456859972,112.378948609147,106.877121640735,26.049768447876,38.4150695800781,195.352935791016,59.0,116.0,28.0,183.0,86.0,125.0,50904.0,85.2961456859972,112.378948609147,106.877121640735
3,4,inferior_longitudinal_fasciculus_L,Left,12207.06924292026,7191.09732645605,0.994059177392735,9.18771934509277,1.99264581947696,79.0733674130607,90.7828497372021,91.4028367773058,15.9114360809326,28.6195526123047,146.189804077148,54.0,123.0,29.0,145.0,77.0,109.0,55556.0,79.0733674130607,90.7828497372021,91.4028367773058
4,5,superior_longitudinal_fasciculus_L,Left,10695.357881567907,6413.9943587138,0.970513632772719,4.14858198165894,1.63099141177507,66.4703755444161,95.5677541293451,117.151532582792,18.5982227325439,47.8465538024902,77.15625,49.0,82.0,67.0,128.0,91.0,143.0,60845.0,66.4703755444161,95.5677541293451,117.151532582792
5,6,uncinate_L,Left,2515.4173931339756,2791.76870050876,0.946581149859588,3.1011049747467,1.08727867216783,81.7201257861635,143.439552760307,96.0625436757512,20.2749576568604,29.4329433441162,62.8747711181641,62.0,102.0,118.0,178.0,82.0,110.0,17172.0,81.7201257861635,143.439552760307,96.0625436757512
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
