,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3867.0,2547.46711911311,0.939797155083334,2.92626261711121,1.63563743216244,116.677269200931,141.253167830359,186.389966382208,12.8107490539551,18.3416767120361,37.4876174926758,109.0,123.0,125.0,158.0,173.0,200.0,3874734.0,116.677269200931,141.253167830359,186.389966382208
40,1003,left caudal middle frontal,outer,7731.0,5412.18933967477,0.823741404461502,1.76377511024475,2.60354616471622,88.0851118872073,132.8689690855,196.718665114474,22.407642364502,30.3078517913818,39.5220413208008,70.0,105.0,114.0,152.0,178.0,212.0,7754193.0,88.0851118872073,132.8689690855,196.718665114474
41,1005,left cuneus,outer,2514.0,3140.36287571866,0.848252765899027,1.88824737071991,2.26698655523206,112.3953858393,59.4053301511535,163.420445505171,20.9111156463623,25.9439029693604,39.4853591918945,97.0,125.0,40.0,76.0,140.0,175.0,2526570.0,112.3953858393,59.4053301511535,163.420445505171
42,1006,left entorhinal,outer,3119.0,1847.48648891627,0.738754039900681,1.48373436927795,0.713511467497762,95.6527733247836,126.447258736775,126.922731644758,15.9503889083862,22.9782905578613,23.6661396026611,82.0,107.0,115.0,137.0,118.0,138.0,3137714.0,95.6527733247836,126.447258736775,126.922731644758
43,1007,left fusiform,outer,9945.0,6232.93733101452,0.970955126904043,4.17952442169189,1.69264951837294,84.4149824032177,90.0557063851182,132.610155857215,15.8779315948486,25.0329875946045,66.3622055053711,69.0,99.0,59.0,126.0,117.0,145.0,10014615.0,84.4149824032177,90.0557063851182,132.610155857215
44,1008,left inferior parietal,outer,10916.0,7959.36289317318,0.858155418427065,1.94783699512482,1.71591779888993,78.5600952729938,65.8706485892268,172.825851960425,22.8861923217773,38.0132446289062,44.5785713195801,60.0,101.0,46.0,85.0,151.0,197.0,11003328.0,78.5600952729938,65.8706485892268,172.825851960425
45,1009,left inferior temporal,outer,12921.0,8034.97548131787,0.983379124372445,5.50769901275635,1.28721309223855,70.3418466062998,109.175837783453,128.221190310348,16.296272277832,31.3460292816162,89.7549591064453,50.0,97.0,68.0,147.0,112.0,150.0,13037289.0,70.3418466062998,109.175837783453,128.221190310348
46,1010,left isthmus cingulate,outer,1796.0,1675.61759403884,0.965067802012629,3.81679010391235,3.1216780261904,115.5,84.4526726057907,164.978285077951,13.4726047515869,14.8198938369751,51.4221038818359,96.0,125.0,78.0,95.0,146.0,182.0,1813960.0,115.5,84.4526726057907,164.978285077951
47,1011,left lateral occipital,outer,9544.0,7446.4258923117,0.963923178645798,3.75684809684753,2.61163501481725,89.8984702430847,52.8646269907795,145.094823973177,16.5247173309326,33.7035217285156,62.0808525085449,64.0,119.0,36.0,75.0,126.0,162.0,9648984.0,89.8984702430847,52.8646269907795,145.094823973177
48,1012,left lateral orbitofrontal,outer,8304.0,6014.58489238024,0.973250827274831,4.35264921188354,1.44173516875354,96.7189306358381,161.435091522158,148.205563583815,14.525652885437,31.25830078125,63.2250709533691,75.0,114.0,132.0,190.0,135.0,167.0,8403648.0,96.7189306358381,161.435091522158,148.205563583815
