,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,37905.44454691223,20046.7830477414,0.990886494029384,7.42393207550049,1.48236329804598,85.872,114.995787755102,163.82373877551,20.3985462188721,61.8261833190918,151.437423706055,66.0,98.0,50.0,189.0,132.0,200.0,30625.0,85.872,114.995787755102,163.82373877551
1,2,corticospinal_L,Left,18651.335310283117,12115.8295976406,0.971771424109028,4.23864698410034,1.56843719899434,82.1156679275334,113.49731236313,165.51907890371,21.2198657989502,65.8054809570312,89.9435195922852,70.0,95.0,71.0,172.0,117.0,201.0,30138.0,82.1156679275334,113.49731236313,165.51907890371
2,3,inferior_fronto_occipital_L,Left,14216.553014394576,8849.79217055118,0.989538657046348,6.93154573440552,1.49787401416986,70.8268326658541,126.534215566777,142.506790875849,23.7190322875977,29.7011528015137,164.409561157227,57.0,91.0,51.0,186.0,122.0,161.0,34458.0,70.8268326658541,126.534215566777,142.506790875849
3,4,inferior_longitudinal_fasciculus_L,Left,11673.02032724667,6477.53207522994,0.991376239978536,7.63088655471802,1.79016563848577,62.135086417135,111.303043155551,126.951860884318,15.3932476043701,23.4012222290039,117.464126586914,49.0,89.0,54.0,157.0,113.0,146.0,37724.0,62.135086417135,111.303043155551,126.951860884318
4,5,superior_longitudinal_fasciculus_L,Left,9582.496381459412,6106.27506685698,0.966276354768124,3.88338541984558,1.22675894671218,55.5214414879876,112.819168173599,150.715577370189,16.7437019348145,47.1797065734863,65.0222473144531,39.0,71.0,91.0,144.0,126.0,173.0,38710.0,55.5214414879876,112.819168173599,150.715577370189
5,6,uncinate_L,Left,2408.620247780937,2554.56556311734,0.944087890791497,3.03311681747437,0.979438159794742,72.2816032887975,151.712230215827,133.284172661871,17.5505828857422,27.3224296569824,53.232967376709,58.0,91.0,133.0,180.0,119.0,149.0,11676.0,72.2816032887975,151.712230215827,133.284172661871
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
