,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3612.9303716714057,2333.56175558558,0.962356858550473,3.67932462692261,1.54302957798729,93.4871531346352,143.588557725248,175.092840013703,9.93604183197021,17.7442874908447,36.5579223632812,88.0,98.0,127.0,160.0,162.0,187.0,2924838.0,93.4871531346352,143.588557725248,175.092840013703
40,1003,left caudal middle frontal,outer,7539.006130130364,5366.17014943396,0.830509388523623,1.79531717300415,2.16570248155954,68.9466425874241,138.426202593991,183.381218190773,19.8357582092285,29.5037384033203,35.6114768981934,55.0,82.0,119.0,157.0,166.0,198.0,6109273.0,68.9466425874241,138.426202593991,183.381218190773
41,1005,left cuneus,outer,3377.7618993803585,3208.60301059057,0.860673373015612,1.96402895450592,2.09354313578335,86.1784536460242,65.2744595089776,145.315133748626,18.5351600646973,24.018383026123,36.4035911560059,73.0,95.0,49.0,82.0,125.0,157.0,2742645.0,86.1784536460242,65.2744595089776,145.315133748626
42,1006,left entorhinal,outer,3114.125664654079,1681.40234007973,0.768621664921167,1.56322383880615,1.66663322868033,76.0576311605723,134.570747217806,116.554451510334,14.3849115371704,19.3197231292725,22.486837387085,66.0,85.0,123.0,159.0,108.0,148.0,2531096.0,76.0576311605723,134.570747217806,116.554451510334
43,1007,left fusiform,outer,9505.75719576444,5731.08644589148,0.972824109430858,4.31880807876587,1.60307538601896,64.8561197916667,100.956510416667,118.968098958333,14.7407064437866,20.5847129821777,63.6622848510742,52.0,78.0,70.0,134.0,106.0,131.0,7733760.0,64.8561197916667,100.956510416667,118.968098958333
44,1008,left inferior parietal,outer,11236.102060305935,7996.2600928868,0.87747027702325,2.08493590354919,1.93242185767428,56.782330909892,75.1587354042741,155.359220092531,20.1575946807861,35.9855003356934,42.0272941589355,42.0,75.0,56.0,94.0,134.0,179.0,9150624.0,56.782330909892,75.1587354042741,155.359220092531
45,1009,left inferior temporal,outer,14060.599185401567,7248.42133083996,0.98304898328619,5.45425462722778,1.26532451969399,54.1518485915493,119.401496478873,115.577288732394,15.278208732605,26.6315574645996,83.3312377929688,38.0,79.0,80.0,155.0,102.0,134.0,11462240.0,54.1518485915493,119.401496478873,115.577288732394
46,1010,left isthmus cingulate,outer,1772.4276437935775,1640.41422114509,0.967918398341115,3.97986578941345,2.89097158433145,89.822625698324,89.731843575419,151.16061452514,11.4710655212402,14.4439191818237,45.6533012390137,74.0,97.0,82.0,100.0,131.0,166.0,1446320.0,89.822625698324,89.731843575419,151.16061452514
47,1011,left lateral occipital,outer,10351.125967210677,7519.55737384364,0.961493605024432,3.63864850997925,2.43770899361759,66.4351309338754,64.3193829965323,128.483678105943,15.8984956741333,33.2057189941406,57.8490371704102,45.0,90.0,45.0,87.0,113.0,157.0,8454993.0,66.4351309338754,64.3193829965323,128.483678105943
48,1012,left lateral orbitofrontal,outer,6892.91169573075,5457.61559939464,0.975862692494481,4.57906913757324,1.43038188180841,79.7534566349434,166.773029269169,138.574609445143,13.3139915466309,26.2136363983154,60.9656867980957,61.0,93.0,140.0,195.0,125.0,158.0,5635828.0,79.7534566349434,166.773029269169,138.574609445143
