,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3648.0,2501.42631460686,0.961435797556561,3.63597393035889,1.54735300631247,80.0479714912281,128.909813596491,160.309484649123,10.903995513916,19.6086406707764,39.6466445922852,72.0,86.0,112.0,145.0,145.0,176.0,3655296.0,80.0479714912281,128.909813596491,160.309484649123
40,1003,left caudal middle frontal,outer,5741.0,4133.56194718751,0.751502195743506,1.51577019691467,2.35989188296022,52.298380073158,119.804912036231,168.687162515241,21.1258125305176,26.6237125396729,32.0218772888184,34.0,66.0,104.0,136.0,150.0,182.0,5758223.0,52.298380073158,119.804912036231,168.687162515241
41,1005,left cuneus,outer,4048.0,4468.31635760838,0.88872421047492,2.18129992485046,2.1254220339897,84.2020750988142,50.387104743083,136.692193675889,20.419490814209,31.768440246582,44.5410346984863,66.0,95.0,31.0,69.0,114.0,154.0,4068240.0,84.2020750988142,50.387104743083,136.692193675889
42,1006,left entorhinal,outer,1879.0,1233.08476218955,0.89822386700287,2.27511477470398,1.676840677383,67.8227780734433,120.232038318254,100.219265566791,11.3760070800781,18.8800048828125,25.881721496582,58.0,76.0,108.0,145.0,92.0,131.0,1890274.0,67.8227780734433,120.232038318254,100.219265566791
43,1007,left fusiform,outer,11870.0,7596.74703089387,0.971575992008538,4.22425937652588,1.69899817315227,55.150800336984,83.8930075821398,100.318197135636,17.1500701904297,28.8616046905518,72.4463424682617,39.0,75.0,52.0,121.0,86.0,115.0,11953090.0,55.150800336984,83.8930075821398,100.318197135636
44,1008,left inferior parietal,outer,14288.0,9585.0782156577,0.866416465829865,2.00271558761597,1.44890226673704,47.1327687569989,57.2329927211646,140.602463605823,23.0836544036865,41.5453796386719,46.2299919128418,26.0,67.0,37.0,78.0,117.0,167.0,14402304.0,47.1327687569989,57.2329927211646,140.602463605823
45,1009,left inferior temporal,outer,12703.0,8194.5331794326,0.97988035392646,5.01037645339966,1.16453000265432,41.2952058568842,103.125009840195,96.046996772416,17.7614631652832,33.3790550231934,88.9916152954102,19.0,71.0,66.0,138.0,80.0,117.0,12817327.0,41.2952058568842,103.125009840195,96.046996772416
46,1010,left isthmus cingulate,outer,2326.0,1938.67778798444,0.949833802029881,3.19739007949829,2.98097761315681,84.1349957007739,78.7063628546862,137.945829750645,13.2323188781738,15.8355875015259,42.3088836669922,69.0,90.0,71.0,88.0,118.0,155.0,2349260.0,84.1349957007739,78.7063628546862,137.945829750645
47,1011,left lateral occipital,outer,11370.0,8790.8202997911,0.96196626813362,3.66074728965759,2.60375244779288,61.7328935795954,47.03781882146,113.673175021988,17.3536376953125,36.0910224914551,63.5272827148438,34.0,90.0,29.0,69.0,96.0,144.0,11495070.0,61.7328935795954,47.03781882146,113.673175021988
48,1012,left lateral orbitofrontal,outer,8638.0,5745.61930976502,0.979367260768559,4.948326587677,1.53666453049769,65.7308404723316,156.226441305858,121.868372308405,12.5406455993652,30.9343547821045,62.0552101135254,48.0,82.0,125.0,184.0,109.0,138.0,8741656.0,65.7308404723316,156.226441305858,121.868372308405
