,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3971.0,2591.91603655084,0.93562694423633,2.8329381942749,1.51626845804436,114.078821455553,148.939309997482,156.309997481743,12.3750066757202,21.228687286377,35.0576286315918,107.0,120.0,132.0,166.0,141.0,168.0,3978942.0,114.078821455553,148.939309997482,156.309997481743
40,1003,left caudal middle frontal,outer,6098.0,4876.42902455583,0.808527919186962,1.69935727119446,2.28190261251666,86.7020334535913,140.783863561824,169.119875368973,23.4341239929199,27.4212341308594,39.8229484558105,68.0,104.0,123.0,160.0,148.0,184.0,6116294.0,86.7020334535913,140.783863561824,169.119875368973
41,1005,left cuneus,outer,3633.0,4625.85029860801,0.879553468483903,2.10172319412231,2.03868943315272,111.614368290669,54.7610789980732,137.300302780072,20.0609340667725,34.7878303527832,42.1625289916992,96.0,121.0,32.0,73.0,113.0,160.0,3651165.0,111.614368290669,54.7610789980732,137.300302780072
42,1006,left entorhinal,outer,2438.0,1540.84525690828,0.837381289047768,1.82942712306976,2.13007660316679,94.9979491386382,132.472518457752,97.9958982772765,13.225193977356,20.9456958770752,24.1945285797119,79.0,107.0,120.0,154.0,89.0,117.0,2452628.0,94.9979491386382,132.472518457752,97.9958982772765
43,1007,left fusiform,outer,10185.0,6613.98815546683,0.974457478071085,4.45291328430176,1.57152130517789,83.5902798232695,90.7706431026019,104.676877761414,16.5946044921875,23.500150680542,73.8943328857422,70.0,97.0,54.0,134.0,87.0,118.0,10256295.0,83.5902798232695,90.7706431026019,104.676877761414
44,1008,left inferior parietal,outer,13997.0,10036.4922065903,0.857609615294692,1.94438576698303,2.10983847497326,78.9289847824534,66.0202900621562,148.194541687504,24.313304901123,39.4350509643555,47.2744445800781,61.0,98.0,41.0,92.0,129.0,174.0,14108976.0,78.9289847824534,66.0202900621562,148.194541687504
45,1009,left inferior temporal,outer,13562.0,8938.13673679283,0.987857224832319,6.43647956848145,1.31305430089802,70.9612888954431,112.033328417638,98.9152779825984,15.4072494506836,31.6368923187256,99.1684494018555,53.0,98.0,67.0,152.0,83.0,120.0,13684058.0,70.9612888954431,112.033328417638,98.9152779825984
46,1010,left isthmus cingulate,outer,2496.0,2095.60192117071,0.939813435913952,2.92664647102356,0.753927827128444,113.106971153846,87.1169871794872,141.904246794872,15.6203927993774,17.3606796264648,45.7153663635254,99.0,120.0,79.0,99.0,119.0,160.0,2520960.0,113.106971153846,87.1169871794872,141.904246794872
47,1011,left lateral occipital,outer,12695.0,9612.70361020993,0.94485948498881,3.05365872383118,2.43265881271401,88.6589996061441,48.8849940921623,119.599133517133,20.1596851348877,40.0571022033691,61.5607986450195,66.0,117.0,30.0,77.0,101.0,146.0,12834645.0,88.6589996061441,48.8849940921623,119.599133517133
48,1012,left lateral orbitofrontal,outer,8116.0,6122.2668256384,0.969383113213029,4.07243728637695,1.41649878945653,95.990635781173,166.917939871858,113.537826515525,14.6913385391235,33.4935150146484,59.8295516967773,73.0,114.0,138.0,198.0,100.0,129.0,8213392.0,95.990635781173,166.917939871858,113.537826515525
