,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,44522.0,22764.8456339681,0.994214959580484,9.3102388381958,1.57911656218756,99.619603791384,105.965185750865,175.44032163874,19.5744094848633,70.3052825927734,182.242431640625,86.0,113.0,27.0,192.0,142.0,219.0,44522.0,99.619603791384,105.965185750865,175.44032163874
1,2,corticospinal_L,Left,21446.0,13302.4969782532,0.971649146750246,4.22962713241577,1.5398623856412,94.90776834841,102.868740091392,178.091578849203,24.4117298126221,67.7417831420898,103.252517700195,83.0,113.0,56.0,168.0,124.0,219.0,42892.0,94.90776834841,102.868740091392,178.091578849203
2,3,inferior_fronto_occipital_L,Left,16047.0,10088.8023103096,0.991607785494208,7.7349910736084,1.63525675799457,85.2295756216115,111.406493425562,149.462454041254,25.7923641204834,33.5817565917969,199.503707885742,64.0,109.0,26.0,186.0,127.0,170.0,48141.0,85.2295756216115,111.406493425562,149.462454041254
3,4,inferior_longitudinal_fasciculus_L,Left,13745.0,7619.91354432122,0.995260485425303,10.283317565918,1.90296840337858,80.1908330301928,86.9685703892325,133.863732266279,14.0230007171631,26.6014404296875,144.202972412109,59.0,114.0,27.0,144.0,119.0,157.0,54980.0,80.1908330301928,86.9685703892325,133.863732266279
4,5,superior_longitudinal_fasciculus_L,Left,10953.0,6584.59496904592,0.968609323019522,4.02272081375122,1.55024651303989,69.5831279101616,95.7157856295079,159.833652880489,17.5740127563477,45.6595344543457,70.6953506469727,53.0,83.0,69.0,130.0,136.0,183.0,54765.0,69.5831279101616,95.7157856295079,159.833652880489
5,6,uncinate_L,Left,2595.0,2769.67227351474,0.956070294854149,3.41136860847473,1.11236927916225,82.7028901734104,143.036608863198,138.690173410405,18.4581718444824,27.379566192627,62.9676284790039,67.0,102.0,118.0,179.0,126.0,155.0,15570.0,82.7028901734104,143.036608863198,138.690173410405
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
